Supplier Code,Seq Num,Ship From Name,Field Type,Field Label,Example Value,Position,Notes,
LMC1000,2,Novo Building Products,PO Number,Customer Order:,299768,top-third,Look for 'Customer Order:' label,
LMC1000,2,Novo Building Products,Date,Date:,12/15/2024,top-third,Order/acknowledgement date,
LMC1000,2,Novo Building Products,Expected Date,Ship Date:,1/5/2025,middle,Expected ship date,
LMC1000,2,Novo Building Products,Merchandise Total,Subtotal:,15234.5,bottom-third,Pre-tax/freight merchandise total,
LMC1000,2,Novo Building Products,Freight Total,Freight:,350,bottom-third,Shipping/freight charges,
LMC1000,2,Novo Building Products,Tax Total,Tax:,1234.56,bottom-third,Sales tax amount,
LMC1000,2,Novo Building Products,Grand Total,Total:,16819.06,bottom-third,Final total amount,
WOL1100,16,Wolf Home Products - LMC,PO Number,Customer Order:,299768,top-left,,
WOL1100,16,Wolf Home Products - LMC,Date,Date:,12/15/2024,top-left,,
WOL1100,16,Wolf Home Products - LMC,Expected Date,Ship Date:,1/5/2025,middle,,
WOL1100,16,Wolf Home Products - LMC,Merchandise Total,Subtotal:,12500,bottom,,
WOL1100,16,Wolf Home Products - LMC,Freight Total,Freight:,450,bottom,,
WOL1100,16,Wolf Home Products - LMC,Grand Total,Total Due:,12950,bottom,,
GER1100,1,Gerkin Windows & Doors,PO Number,Ship to PO,293597MG,TOP RIGHT,,
GER1100,1,Gerkin Windows & Doors,Ship Date,Production Date,45925,Top Right,,
GER1100,1,Gerkin Windows & Doors,Merchandise Total,Order totals,4049.46,FOOTER,,
GER1100,1,Gerkin Windows & Doors,Tax,Taxes,0,FOOTER,,
GER1100,1,Gerkin Windows & Doors,Grand Total,Order totals,4049.46,Footer,,
GER1100,1,,PO Number,Ship to PO,293597MG,,TOP RIGHT,Right
GER1100,1,,Ship Date,Production Date,45925,MM/DD/YY,Top Right,Right
GER1100,1,,Merchandise Total,Order totals,4049.46,,FOOTER,Right
GER1100,1,,Tax,Taxes,0,,FOOTER,Right
GER1100,1,,Grand Total,Order totals,4049.46,,Footer,Right
BUI1000,1,,PO Number,PO:,297263,,Header,Right
BUI1000,1,,Ship Date,Exp Delv Date:,45943,MM/DD/YYYY,Header,Right
BUI1000,1,,Merchandise Total,Balance,2324.6,,Footer,Right
GER1100,1,Gerkin Windows & Doors,PO Number,Ship to PO,293597MG,,TOP RIGHT,
GER1100,1,Gerkin Windows & Doors,Ship Date,Production Date,45925,MM/DD/YY,Top Right,
GER1100,1,Gerkin Windows & Doors,Merchandise Total,Order totals,4049.46,,FOOTER,
GER1100,1,Gerkin Windows & Doors,Tax,Taxes,0,,FOOTER,
GER1100,1,Gerkin Windows & Doors,Grand Total,Order totals,4049.46,,Footer,
BUI1000,1,Building Products Inc,PO Number,PO:,297263,,Header,
BUI1000,1,Building Products Inc,Ship Date,Exp Delv Date:,45943,MM/DD/YYYY,Header,
